property,market,brand_chain,total_event_sqft,guest_rooms,meeting_rooms,largest_ballroom_sqft,breakout_rooms,outdoor_sqft,proposed_archetype,multiroom_connected_notes,source,notes
Hyatt Regency Orlando (ex-Peabody),Orlando,Hyatt,315000,1641,,54638,105,52000,convention,5 pillar-free ballrooms same level; 20k rotunda; connected to OCCC across I-Drive,cvent+hyatt.com,Ryan worked through the Peabody->Hyatt Regency rebrand Oct 1 2013
Hilton Orlando,Orlando,Hilton,249000,1424,71,49128,42,63000,convention,3 grand ballrooms 50k/30k/15k,cvent,I-Drive; Ryan first-hand
Signia by Hilton Orlando Bonnet Creek,Orlando,Hilton,231000,,34,35925,,,convention,3 ballrooms (Bonnet Creek 35925 / Waterside 35098 / Floridian 27300); connected to Waldorf Astoria (sister),cvent+hilton.com,guest room count needs Tier-2 fill (~1009)
Disney's Coronado Springs (Gran Destino),Lake Buena Vista,Disney,228000,2416,45,60214,45,,convention,Coronado Ballroom 60214 (6680 pax) + Fiesta 21160 + exhibit hall; one contiguous level,cvent+disneymeetings,largest Disney convention resort; +545 rooms Gran Destino tower
Disney's Contemporary Resort,Lake Buena Vista,Disney,115000,,,42336,15,,convention,Fantasia Ballroom 42336 (4720 pax) subdivides to 15 breakouts,cvent+disneymeetings,guest room count needs Tier-2 fill (~655)
Disney's Yacht & Beach Club,Lake Buena Vista,Disney,100000,1190,,36120,,,convention,Grand Harbor Ballroom 36120 + Newport 16000 (8 rooms); recent +28k expansion,cvent+disneymeetings,Ryan first-hand
Waldorf Astoria Orlando,Orlando,Hilton,120000,502,14,8436,14,,luxury-meeting,Central Park Ballroom 8436 + Grand 7945; sister to Signia Bonnet Creek,cvent+hilton.com,171 suites
Loews Portofino Bay,Orlando,Loews (Universal),42000,795,,15040,,,luxury-resort,Tuscan Ballroom 15040 (27ft ceil) + Venetian 7670 (5 sections),cvent+loewshotels,750 rooms + 45 suites; Ryan first-hand
Disney's Grand Floridian,Lake Buena Vista,Disney,40000,865,,18216,6,,luxury-resort,Grand Floridian Ballroom 18216 (2000 pax / 9 sections) + St. Augustine 5858,cvent+disneymeetings,flagship Disney luxury
Four Seasons Resort Orlando,Lake Buena Vista,Four Seasons,37750,443,8,14000,,9900,luxury-resort,Grand Ballroom 14000 + Junior 6200; 2 event lawns + terraces,cvent+fourseasons,INTERNAL ONLY — Ryan still employed by FS; keep out of any public content/book
Disney's BoardWalk Inn,Lake Buena Vista,Disney,20000,372,,10132,8,,boutique-meeting,Promenade Ballroom 10132 (6 salons / up to 8 breakouts),cvent+disneymeetings,smallest Disney convention property
Hard Rock Hotel Orlando,Orlando,Loews (Universal),20000,650,,2964,,9900,boutique-meeting,Avalon Ballroom 2964 (300 pax) + pre-function; sqft sources vary 7k-72k incl outdoor,cvent+loewshotels,"Ryan: ""very limited sqft/rooms"" archetype; 29 suites"
Hard Rock Live Orlando,Orlando,Universal CityWalk,,,,,,,entertainment-venue,"Live venue + Lennon VIP room upstairs + convertible cafe rooms + full property buyout — the ""multi-room animal""",Ryan first-hand,no standard capacity chart; venue archetype from Ryan's knowledge
Disney's Riviera Resort,Lake Buena Vista,Disney,,,,,,,non-convention,character dining (Topolino's) — NOT a convention property,Ryan first-hand,Ryan opened Topolino's/Riviera 2019 — excluded from meeting harvest
Disney's Polynesian,Lake Buena Vista,Disney,,,,,,,non-convention,character dining ('Ohana) — NOT a convention property,Ryan first-hand,Ryan 'Ohana 2021 — excluded from meeting harvest
Rosen Shingle Creek,Orlando,Rosen (independent),524000,1501,74,95000,,136000,convention,Gatlin 95000 (column-free) / Sebastian 60000 / Panzacola 40000; 255 acres; 144k pre-function,cvent+rosenshinglecreek,largest single-property meeting space in Orlando
Orlando World Center Marriott,Orlando,Marriott,500000,2009,,105000,,,convention,Cypress 105000 (largest pillar-free resort ballroom in US) + Palms 50000 + Crystal 40000 + Grand 37000,cvent+marriott,Ryan first-hand
Gaylord Palms Resort & Convention Center,Kissimmee,Marriott (Gaylord),500000,1718,,48505,,,convention,Osceola 48505 (42x96 stage); $134M 2025 transformation; 65 acres,cvent+experiencekissimmee,
Caribe Royale Orlando,Orlando,independent,260000,1337,,50000,,,convention,Palms 50000 (5000 pax) + Coral; all-suite (1217 one-BR suites + 120 two-BR villas); $160M expansion,cvent+cariberoyale,Central FL largest all-suite convention hotel
Omni Orlando Resort at ChampionsGate,ChampionsGate,Omni,255000,1005,,28872,,,convention,3 ballrooms 20k-28.8k each w/ own pre-function,cvent+omnihotels,
Walt Disney World Swan and Dolphin,Lake Buena Vista,Marriott (Disney),348000,2619,99,55000,,,convention,Hemispheres 55000; Swan+Dolphin+Swan Reserve; 110500 contiguous exhibit; +$275M expansion to 450k,cvent+swandolphin,
Loews Royal Pacific Resort,Orlando,Loews (Universal),132000,1000,,,,,convention,connected via a/c walkway to Sapphire Falls = Loews Meeting Complex 247000 contiguous,cvent+loewshotels,Ryan first-hand; the CONNECTED-SPACES canonical example
Loews Sapphire Falls Resort,Orlando,Loews (Universal),115000,1000,16,,,36000,convention,connected to Royal Pacific = 247000 complex; 83 suites; 36k pre-function,cvent+loewshotels,Ryan first-hand; pairs w/ Royal Pacific
JW Marriott Orlando Grande Lakes,Orlando,Marriott,112000,,39,28000,,,convention,part of Grande Lakes compound w/ Ritz (169000 combined / 6 ballrooms / 56 breakouts shared),cvent+grandelakes,guest rooms need Tier-2 fill
Hyatt Regency Grand Cypress,Orlando,Hyatt,102000,779,57,25000,,,luxury-meeting,Windsong 25000 (12-20 sections),cvent+hyatt,
Conrad Orlando,Orlando,Hilton (Conrad),65000,433,7,15000,,9000,luxury-resort,built on EVERMORE Orlando Resort (the "village"); Jacaranda 6500 + Lyonia Lawn 9000,cvent+hilton,Ryan flagged Conrad + Evermore village
JW Marriott Orlando Bonnet Creek,Orlando,Marriott,51587,516,19,22000,,,luxury-resort,ballroom 22000 (1280 banquet); sister to Waldorf/Signia Bonnet Creek cluster,cvent+marriott,
The Ritz-Carlton Orlando Grande Lakes,Orlando,Marriott (Ritz),47000,,,,,64000,luxury-resort,compound w/ JW Grande Lakes (169000 combined); function lawn + 64k outdoor,cvent+grandelakes,guest rooms need Tier-2 fill
Universal Helios Grand Hotel,Orlando,Loews (Universal),5000,535,,,,,luxury-resort,Epic Universe PREMIER hotel opened May 2025; minimal meeting (rooftop lounge); 500 rooms + 35 suites,loewshotels+uomeetings,NEW — Universal Epic Universe expansion
House of Blues Orlando,Orlando (Disney Springs),Live Nation,43000,,,12637,,,entertainment-venue,Music Hall 12637 (1500 pax); 15-2500 guests flex,cvent+houseofblues,entertainment venue archetype
ICON Park,Orlando (I-Drive),independent,,,,,,,entertainment-venue,up to 10000; multi-venue promenade (Winery 1700 / Uncle Julio's 5000 / The Lawn / Carousel),iconparkorlando,open-air entertainment complex
Dr. Phillips Center for the Performing Arts,Orlando (downtown),nonprofit,,,,,,,entertainment-venue,Judson's Live 200 + multiple theaters/event spaces,drphillipscenter,performing-arts event venue
Rosen Centre Hotel,Orlando,Rosen (independent),160000,1334,35,35000,,,convention,Grand 35000 + Executive 18000 + Junior 14448; CONNECTED to OCCC,cvent+rosencentre,OCCC cluster; Rosen sister-hotel cross-push
Rosen Plaza Hotel,Orlando,Rosen (independent),60000,800,22,26000,,,convention,Grand 26000; Gary Sain Skybridge = direct covered walkway to OCCC,cvent+rosenplaza,OCCC cluster; Rosen sister-hotel cross-push
Renaissance Orlando at SeaWorld,Orlando,Marriott,215000,781,,36288,,20000,convention,Oceans 36288 + Crystal 17325 + Peninsula 16347; +30k expansion,cvent+marriott,I-Drive/SeaWorld
Hilton Orlando Buena Vista Palace,Lake Buena Vista,Hilton,120000,1011,,18000,,,convention,Sabal 18000 (2000 pax) + Citron 16530; steps from Disney Springs,cvent+hilton,Disney Springs cluster
Wyndham Grand Orlando Bonnet Creek,Orlando,Wyndham,50000,400,20,7950,,,luxury-resort,Ponce de Leon 7950 + Bonnet Creek 3500,cvent+wyndham,Bonnet Creek cluster
Universal Stella Nova Resort,Orlando,Loews (Universal),,750,,,,,non-convention,Epic Universe room-block hotel (rooms-only); complimentary shuttle; 2mi to OCCC,loewshotels+uomeetings,NEW 2025 — Epic Universe OVERFLOW room block
Universal Terra Luna Resort,Orlando,Loews (Universal),,750,,,,,non-convention,Epic Universe prime-value (rooms-only); shuttle; room-block overflow,loewshotels+uomeetings,NEW 2025 — Epic Universe OVERFLOW room block
Gaylord Texan Resort & Convention Center,Grapevine (DFW),Marriott (Gaylord),490000,1941,,49025,,,convention,Texas Ballroom 49025 + Longhorn Exhibit Hall 179520; 30min from Dallas,cvent+marriott,DALLAS market; Ryan outreach market
Hilton Anatole,Dallas,Hilton,600000,1617,79,,,,convention,9 ballrooms + Trinity Exhibit Complex 128000; 127 suites,cvent+hilton,DALLAS; largest Dallas hotel meeting space
Sheraton Dallas Hotel,Dallas,Marriott,230000,1841,60,40801,,,convention,Lone Star Ballroom 40801 (biggest ballroom in TX; 5000 reception),cvent+marriott,DALLAS; downtown 3-hotel partnership cluster
Omni Dallas Hotel,Dallas,Omni,110000,1001,41,31704,,,convention,Dallas Ballroom 31704; SKYBRIDGE to Kay Bailey Hutchison Conv Ctr (2.1M sqft),cvent+omnihotels,DALLAS; conv-center-connected
Hyatt Regency Dallas,Dallas,Hyatt,160000,1120,56,30000,,,convention,Landmark 30000 + 2 exhibit halls; Reunion Tower,cvent+hyatt,DALLAS; downtown
Kay Bailey Hutchison Convention Center,Dallas,convention center,2100000,,,,,,convention-center,downtown Dallas conv ctr anchor; Omni connected via skybridge,visitdallas,DALLAS anchor node
Gaylord Opryland Resort & Convention Center,Nashville,Marriott (Gaylord),758911,2888,,55314,,,convention,6 ballrooms (3364-55314); largest non-gaming in-hotel exhibit in US; $131M expansion 2027,cvent+marriott,NASHVILLE market; Ryan outreach market
Renaissance Nashville Hotel,Nashville,Marriott,112498,674,,17877,,,convention,connected to Fifth+Broadway + Music City Center access,cvent+marriott,NASHVILLE; conv-center-connected
Grand Hyatt Nashville,Nashville,Hyatt,84000,644,42,20000,,,convention,2 ballrooms (largest 20000); first pillar of Nashville Yards development,cvent+hyatt,NASHVILLE; Nashville Yards cluster
Omni Nashville Hotel,Nashville,Omni,80000,800,,25000,,,convention,CONNECTED to Music City Center (1.2M sqft) + Country Music Hall of Fame across 3 levels,cvent+omnihotels,NASHVILLE; conv-center-connected
JW Marriott Nashville,Nashville,Marriott,79000,,32,10064,,,luxury-meeting,Symphony Ballroom 10064; Nashville's only private outdoor event lawn,cvent+marriott,NASHVILLE; guest rooms need Tier-2 fill
Music City Center,Nashville,convention center,1200000,,,,,,convention-center,downtown Nashville conv ctr anchor; Omni connected,visitmusiccity,NASHVILLE anchor node
